UserId,ProductId,Rating,time,price,ProductName,nutritional _data,Recommended_Product,Price
1,1,5,2/19/2024 7:45,10,Tea,"This drink contains 2 calories, 10 grams of fat, 0 grams of carbs, 0 grams of fiber, 0 grams of protein, and 0 milligrams of sodium.",Nescaffee black,15
2,2,3,2/20/2024 10:45,15,Tea_Milk,"This drink contains 50 calories, 2 grams of fat, 8 grams of carbs, 0 grams of fiber, 3 grams of protein, and 25 milligrams of sodium.",Nescaffee black,15
3,3,2,2/21/2024 10:45,15,Nescaffee black,"This drink contains 80 calories, 3 grams of fat, 10 grams of carbs, 0 grams of fiber, 1 grams of protein, and 100 milligrams of sodium.",Nescafee,20
5,4,1,2/22/2024 10:45,20,Nescafee,"This drink contains 100 calories, 3 grams of fat, 12 grams of carbs, 1 grams of fiber, 5 grams of protein, and 120 milligrams of sodium.",Tea,10
6,5,4,2/23/2024 10:45,15,Cacao,"This drink contains 150 calories, 8 grams of fat, 15 grams of carbs, 5 grams of fiber, 4 grams of protein, and 50 milligrams of sodium.",Tea_Milk,15
7,6,2,2/24/2024 10:45,20,Cacao_Milk,"This drink contains 200 calories, 10 grams of fat, 20 grams of carbs, 5 grams of fiber, 6 grams of protein, and 100 milligrams of sodium.",Nescafee,20
8,1,3,2/25/2024 10:45,10,Tea,"This drink contains 2 calories, 10 grams of fat, 0 grams of carbs, 0 grams of fiber, 0 grams of protein, and 0 milligrams of sodium.",Nescaffee black,15
9,2,1,2/26/2024 10:45,15,Tea_Milk,"This drink contains 50 calories, 2 grams of fat, 8 grams of carbs, 0 grams of fiber, 3 grams of protein, and 25 milligrams of sodium.",Tea,10
10,3,5,2/27/2024 10:45,15,Nescaffee black,"This drink contains 80 calories, 3 grams of fat, 10 grams of carbs, 0 grams of fiber, 1 grams of protein, and 100 milligrams of sodium.",Cacao_Milk,20
11,4,4,2/28/2024 10:45,20,Nescafee,"This drink contains 100 calories, 3 grams of fat, 12 grams of carbs, 1 grams of fiber, 5 grams of protein, and 120 milligrams of sodium.",Tea,10
12,5,5,2/29/2024 10:45,15,Cacao,"This drink contains 150 calories, 8 grams of fat, 15 grams of carbs, 5 grams of fiber, 4 grams of protein, and 50 milligrams of sodium.",Tea_Milk,15
